Strategy,Flux,Biomass,N_of_deletions,C_limit
"['GLYCK', 'ADNK1', 'NTD2', 'CS', 'OXOAEL']",4.234861364596498e-06,0.0877659703754915,5,11
"['DHPM1', '3OADPCOAT', 'GGDAPAH']",0.271211370124037,0.0417804691895003,3,11
"['DHPM1', 'HSK', 'KAT5', 'GGGABADxr']",1.2999786898789896,0.1737410416896015,4,11
"['DHPM1', 'PAPSR', 'OXOAEL', 'GGDAPS']",0.2712153486022381,0.0417804693580073,4,11
"['PPCK', 'DHPM1', 'HSK', 'GGGABADxr', 'OXDHCOAT']",1.302337241779017,0.1733119528025759,5,11
"['GGDAPO', 'PPCK', 'DHPM1', 'PAPSR', 'HSK']",1.3023372417703412,0.1733119528041444,5,11
"['PPCK', 'HACD5i', 'DHPM1', 'HSK', 'GGDAPAH']",1.3023396455101195,0.1733115185411406,5,11
"['PPCK', 'DHPM1', 'HSK', 'ALDD19x', 'GGGABADxr']",1.3023372417746124,0.1733119528033697,5,11
"['GGDAPS', 'HACD5i', 'DHPM1', '23CTI1', 'MDH']",1.295707018151956,0.1702902614913468,5,11
"['GGDAPS', 'DHPM1', 'HSK', 'KAT5', 'CBMKr']",1.2999651047676029,0.1726911393606134,5,11
"['ACS', 'DHPM1', 'CBMKr', 'URIC2', 'GGDAPAH']",1.2999237419746177,0.1736713351410649,5,11
"['SERAT', 'ACOAD22f', 'KAT3', 'HEPCT']",3.97852914502117e-09,0.4178046935123607,4,11
"['KAT3', '1PPDCRc', 'TRPS3', 'GLYCTO1']",9.09211616550998e-08,0.3471126730486606,4,11
"['KAT3', '1PPDCRc', 'PMANM', 'HEPCT']",7.056815118366977e-08,0.4178046935800718,4,11
"['ECOAH7', 'KAT4', 'RHACOAR80', 'ACOAD23f']",9.207770787500459e-08,0.4178046936665094,4,11
"['PMANM', 'CYTDH', '1PPDCRc', 'ACOAD22f', 'THRA2r']",5.2108989349181074e-08,0.417804693575771,5,11
"['HDCOAI', '1PPDCRc', 'HEPCT', 'ACOAD23f', 'KAT3']",1.2392961656892965e-10,0.4178046935414206,5,11
"['PRPPS', 'PMANM', 'ACOAD8f', 'ATHRDHr', 'GLUCYS']",2.1884708462094338e-08,0.4178046935583688,5,11
"['PMANM', 'ACOAD8f', '1PPDCRc', 'TRPS3', 'THRA2r']",2.0708444026240613e-07,0.4178046935800744,5,11
"['CYTDH', 'GLYCTO1', '1PPDCRc', 'HEPCT', 'PPM']",1.9691747060734957e-07,0.3471126734514106,5,11
"['PMANM', 'ACOAD8f', 'TRPS3', 'ACOAD22f', 'KAT3']",1.1068966132565803e-08,0.4178046935400398,5,11
"['ACONTa', 'AKGDa']",9.871477371636851e-09,0.3797513672998941,2,10
"['RPE', 'ASPO6']",0.0,0.4161224537863035,2,10
"['HCO3E', 'AKGDa']",0.0,0.4062896559053195,2,10
"['GGDAPO', 'G3PD2']",0.0,0.4115998533927616,2,10
"['PROD2', 'THRAr']",0.0,0.4178046935800629,2,10
"['GLYALDDr', 'THRAr']",0.0,0.4092358382621575,2,10
"['ASPO1', 'RPE']",0.0,0.4161224537863364,2,10
"['GLYALDDr', 'HCO3E']",0.0,0.4092358382621557,2,10
"['ACONTa', 'PGM']",1.0727422825040913e-08,0.3559689613720131,2,10
"['PGK', 'HACD23i']",0.0,0.4138401853715668,2,10
"['ICDHyr', 'FALDM']",1.2543724403341017e-05,0.4044634520872574,2,10
"['ECOAH7', 'FALDM']",0.0,0.4178024761279468,2,10
"['GLYALDDr', 'ICDHyr']",0.0,0.39744208396312,2,10
"['GLYALDDr', 'ACOAD3f']",0.0,0.4092358382622214,2,10
"['TALA', 'PDHbr']",0.0,0.4102079717349715,2,10
"['PGI', 'MICITDr']",0.0,0.4178046935800729,2,10
"['ACOAD1f', 'PDHbr']",0.0,0.4106136777248931,2,10
"['ACOAD1f', 'FALDM']",1.9105468596070092e-09,0.4178024761280627,2,10
"['ECOAH7', 'TALA', 'PGLCNDH']",0.0,0.4169332405653105,3,10
"['ECOAH7', 'ICDHyr', 'TALA']",0.0,0.4038755098757873,3,10
"['PDHcr', 'ABTA', 'FALDM']",1.2758661694578337e-05,0.4004961311786312,3,10
"['DURAD', 'ICDHyr', 'GGDAPDxr']",1.2953446763543042,0.1719844315745229,3,10
"['DURAD', 'GGGABAH', 'ICDHyr']",1.2953446763471346,0.17198443157581,3,10
"['ICDHyr', 'PPHNTA', 'FALDM']",1.2543724411596512e-05,0.4044634520872574,3,10
"['PGM', 'PDHcr', 'FALDM']",1.2629884763762368e-05,0.3964537928276386,3,10
"['LPCOXc', 'ICDHyr', 'FALDM']",1.2543723783800533e-05,0.4044634520873723,3,10
"['ALDD19x', 'PDHcr', 'FALDM']",1.2758662098848596e-05,0.4004961311785579,3,10
"['UPPN', 'FUM', 'GGDAPAH']",0.4713469692499465,0.0572753194817345,3,10
"['GLYCK', 'OIVD1r', 'FALDM']",1.2003490764008222e-05,0.4178024761279928,3,10
"['PGK', 'ICDHyr', 'FALDM']",1.2698954180189945e-05,0.3986218055796939,3,10
